AÑO,CCAA,KG RECOGIDOS,HABITANTES,CONTENEDOR
2010,PAIS VASCO,2950,382,Azul
2010,PAIS VASCO,18250,1082,Azul
2010,PAIS VASCO,46928,1746,Azul
2010,MADRID,172587,6168,Azul
2010,PAIS VASCO,1500,423,Azul
2010,PAIS VASCO,609932,13341,Azul
2010,PAIS VASCO,6648,258,Azul
2010,PAIS VASCO,198317,7216,Azul
2010,PAIS VASCO,17880,616,Azul
2010,PAIS VASCO,754310,29476,Azul
2010,PAIS VASCO,80153,1382,Azul
2010,PAIS VASCO,170144,8520,Azul
2010,PAIS VASCO,24750,1559,Azul
2010,PAIS VASCO,14920,16244,Azul
2010,MADRID,2975940,204574,Azul
2010,PAIS VASCO,6590,1504,Azul
2010,PAIS VASCO,189800,7270,Azul
2010,PAIS VASCO,182370,4888,Azul
2010,PAIS VASCO,9605,412,Azul
2010,PAIS VASCO,9600,375,Azul
2010,PAIS VASCO,116590,2835,Azul
2010,PAIS VASCO,116170,4220,Azul
2010,PAIS VASCO,654480,28229,Azul
2010,PAIS VASCO,480090,24262,Azul
2010,PAIS VASCO,1699072,42657,Azul
2010,MADRID,173675,6445,Azul
2010,PAIS VASCO,1234100,23864,Azul
2010,PAIS VASCO,4590,513,Azul
2010,PAIS VASCO,251489,9647,Azul
2010,PAIS VASCO,10250,445,Azul
2010,PAIS VASCO,14260,350,Azul
2010,PAIS VASCO,57950,16209,Azul
2010,PAIS VASCO,1197090,19675,Azul
2010,PAIS VASCO,2378738,98460,Azul
2010,PAIS VASCO,18505,678,Azul
2010,PAIS VASCO,4850,875,Azul
2010,MADRID,194097,8792,Azul
2010,PAIS VASCO,19380,905,Azul
2010,PAIS VASCO,6670,409,Azul
2010,PAIS VASCO,2490,2313,Azul
2010,PAIS VASCO,378386,12435,Azul
2010,PAIS VASCO,3720,551,Azul
2010,EXTREMADURA,489366,142752,Azul
2010,COMUNIDAD VALENCIANA,144145,28308,Azul
2010,MADRID,30530,2074,Azul
2010,EXTREMADURA,155640,35791,Azul
2010,COMUNIDAD VALENCIANA,59667,9471,Azul
2010,COMUNIDAD VALENCIANA,31005,25838,Azul
2010,EXTREMADURA,230600,15055,Azul
2010,EXTREMADURA,137340,12896,Azul
2010,EXTREMADURA,461880,41148,Azul
2010,COMUNIDAD VALENCIANA,33890,5379,Azul
2010,MADRID,1256143,41064,Azul
2010,CANARIAS,113810,10666,Azul
2010,REGION DE MURCIA,206340,19860,Azul
2010,REGION DE MURCIA,298055,29211,Azul
2010,REGION DE MURCIA,822248,64065,Azul
2010,REGION DE MURCIA,255700,15319,Azul
2010,REGION DE MURCIA,240460,25685,Azul
2010,REGION DE MURCIA,361800,31432,Azul
2010,REGION DE MURCIA,3464800,211996,Azul
2010,REGION DE MURCIA,135300,13947,Azul
2010,REGION DE MURCIA,193310,35200,Azul
2010,MADRID,233668,12419,Azul
2010,REGION DE MURCIA,283840,12991,Azul
2010,REGION DE MURCIA,7160510,436870,Azul
2010,REGION DE MURCIA,297390,31495,Azul
2010,REGION DE MURCIA,114912,18202,Azul
2010,REGION DE MURCIA,31060,17737,Azul
2010,REGION DE MURCIA,326720,41084,Azul
2010,REGION DE MURCIA,558730,35025,Azul
2010,REGION DE MURCIA,279920,6370,Azul
2010,REGION DE MURCIA,111370,14876,Azul
2010,REGION DE MURCIA,279520,26415,Azul
2010,MADRID,123950,7776,Azul
2010,REGION DE MURCIA,157680,8455,Azul
2010,ARAGON,207680,7587,Azul
2010,ARAGON,315860,31610,Azul
2010,REGION DE MURCIA,982655,91906,Azul
2010,MADRID,139326,6985,Azul
2010,MADRID,152400,2457,Azul
2010,COMUNIDAD VALENCIANA,16933,301,Azul
2010,MADRID,756225,43700,Azul
2010,COMUNIDAD VALENCIANA,473060,31760,Azul
2010,COMUNIDAD VALENCIANA,34209,1028,Azul
2010,COMUNIDAD VALENCIANA,724760,38433,Azul
2010,COMUNIDAD VALENCIANA,445500,33797,Azul
2010,COMUNIDAD VALENCIANA,187301,66070,Azul
2010,COMUNIDAD VALENCIANA,47243,1474,Azul
2010,COMUNIDAD VALENCIANA,118190,8968,Azul
2010,MADRID,98716,5947,Azul
2010,COMUNIDAD VALENCIANA,207563,10395,Azul
2010,COMUNIDAD VALENCIANA,140311,4178,Azul
2010,COMUNIDAD VALENCIANA,130120,5399,Azul
2010,COMUNIDAD VALENCIANA,10695,153,Azul
2010,COMUNIDAD VALENCIANA,973206,80020,Azul
2010,COMUNIDAD VALENCIANA,60606,1492,Azul
2010,COMUNIDAD VALENCIANA,104233,1887,Azul
2010,COMUNIDAD VALENCIANA,130889,7771,Azul
2010,MADRID,88760,7857,Azul
2010,COMUNIDAD VALENCIANA,8897,664,Azul
2010,COMUNIDAD VALENCIANA,165620,21011,Azul
2010,COMUNIDAD VALENCIANA,351000,23780,Azul
2010,COMUNIDAD VALENCIANA,40100,490,Azul
2010,COMUNIDAD VALENCIANA,1488136,44464,Azul
2010,COMUNIDAD VALENCIANA,73262,6640,Azul
2010,MADRID,193565,8923,Azul
2010,COMUNIDAD VALENCIANA,9966,873,Azul
2010,COMUNIDAD VALENCIANA,134150,9913,Azul
2010,COMUNIDAD VALENCIANA,109085,5569,Azul
2010,COMUNIDAD VALENCIANA,656620,14620,Azul
2010,COMUNIDAD VALENCIANA,385860,86164,Azul
2010,COMUNIDAD VALENCIANA,39494,5025,Azul
2010,MADRID,6773620,197836,Azul
2010,COMUNIDAD VALENCIANA,1667,554,Azul
2010,COMUNIDAD VALENCIANA,183754,12204,Azul
2010,MADRID,1756562,115611,Azul
2010,COMUNIDAD VALENCIANA,135400,11378,Azul
2010,COMUNIDAD VALENCIANA,100143,7516,Azul
2010,COMUNIDAD VALENCIANA,39543,2951,Azul
2010,COMUNIDAD VALENCIANA,1674280,61552,Azul
2010,MADRID,62896211,3255944,Azul
2010,COMUNIDAD VALENCIANA,1404060,101792,Azul
2010,COMUNIDAD VALENCIANA,4150,513,Azul
2010,COMUNIDAD VALENCIANA,328200,16552,Azul
2010,COMUNIDAD VALENCIANA,16802,1340,Azul
2010,COMUNIDAD VALENCIANA,193350,24963,Azul
2010,COMUNIDAD VALENCIANA,286690,32924,Azul
2010,COMUNIDAD VALENCIANA,28566,2052,Azul
2010,COMUNIDAD VALENCIANA,47970,4541,Azul
2010,MADRID,106466,4499,Azul
2010,COMUNIDAD VALENCIANA,5128,838,Azul
2010,COMUNIDAD VALENCIANA,35930,17924,Azul
2010,COMUNIDAD VALENCIANA,47362,4639,Azul
2010,COMUNIDAD VALENCIANA,89239,2822,Azul
2010,COMUNIDAD VALENCIANA,10989,1427,Azul
2010,COMUNIDAD VALENCIANA,414012,35222,Azul
2010,COMUNIDAD VALENCIANA,316030,21939,Azul
2010,MADRID,192178,7244,Azul
2010,COMUNIDAD VALENCIANA,10961,818,Azul
2010,COMUNIDAD VALENCIANA,393420,16329,Azul
2010,COMUNIDAD VALENCIANA,125620,9445,Azul
2010,PAIS VASCO,37440,909,Azul
2010,CASTILLA Y LEON,1171221,56855,Azul
2010,MADRID,1097522,43501,Azul
2010,CANARIAS,233540,21690,Azul
2010,EXTREMADURA,55100,5367,Azul
2010,ANDALUCIA,872494,88594,Azul
2010,COMUNIDAD VALENCIANA,194160,17874,Azul
2010,COMUNIDAD VALENCIANA,206384,7926,Azul
2010,COMUNIDAD VALENCIANA,92450,6291,Azul
2010,COMUNIDAD VALENCIANA,36438,3235,Azul
2010,COMUNIDAD VALENCIANA,29260,8745,Azul
2010,CATALUÑA,1980345,58744,Azul
2010,CATALUÑA,1968688,81724,Azul
2010,CATALUÑA,2255205,115843,Azul
2010,CATALUÑA,958495,48974,Azul
2010,CATALUÑA,1693680,78753,Azul
2010,CATALUÑA,1145800,41744,Azul
2010,CATALUÑA,124060,3630,Azul
2010,MADRID,178061,8294,Azul
2010,CATALUÑA,917411,18656,Azul
2010,CATALUÑA,705904,21502,Azul
2010,CATALUÑA,698060,21855,Azul
2010,CATALUÑA,329880,20479,Azul
2010,CATALUÑA,2073260,55339,Azul
2010,CATALUÑA,235340,5253,Azul
2010,CATALUÑA,1185892,34915,Azul
2010,CATALUÑA,3694339,96188,Azul
2010,CATALUÑA,2367390,83554,Azul
2010,MADRID,1365624,68405,Azul
2010,CATALUÑA,729650,38918,Azul
2010,CATALUÑA,2808610,135919,Azul
2010,CATALUÑA,1142410,31296,Azul
2010,CATALUÑA,5561398,200917,Azul
2010,CATALUÑA,884880,16784,Azul
2010,CATALUÑA,3018014,139806,Azul
2010,CATALUÑA,3699431,176373,Azul
2010,CATALUÑA,1020149,74566,Azul
2010,CATALUÑA,1022638,65843,Azul
2010,CATALUÑA,591790,22825,Azul
2010,CATALUÑA,452480,18462,Azul
2010,CATALUÑA,7387937,206493,Azul
2010,CATALUÑA,868714,72987,Azul
2010,CATALUÑA,1102465,26821,Azul
2010,CATALUÑA,7010133,121647,Azul
2010,CATALUÑA,864920,26681,Azul
2010,CATALUÑA,2338270,121722,Azul
2010,CATALUÑA,2042020,72189,Azul
2010,CATALUÑA,698842,40213,Azul
2010,CATALUÑA,385080,7625,Azul
2010,MADRID,316552,12797,Azul
2010,CATALUÑA,1091666,30153,Azul
2010,CATALUÑA,661480,22725,Azul
2010,CATALUÑA,2128451,107118,Azul
2010,CATALUÑA,2378577,43792,Azul
2010,CATALUÑA,1787281,61869,Azul
2010,CATALUÑA,492660,13759,Azul
2010,CATALUÑA,3411791,140323,Azul
2010,CATALUÑA,1287695,52353,Azul
2010,CATALUÑA,6855074,210941,Azul
2010,CATALUÑA,787610,36670,Azul
2010,MADRID,736380,51489,Azul
2010,CATALUÑA,8837137,369287,Azul
2010,CATALUÑA,609800,20866,Azul
2010,CATALUÑA,319022,11553,Azul
2010,CATALUÑA,385850,10295,Azul
2010,CATALUÑA,494230,13840,Azul
2010,BALEARES,11996662,401270,Azul
2010,BALEARES,5005030,93915,Azul
2010,BALEARES,12401986,409353,Azul
2010,BALEARES,2194608,48684,Azul
2010,MADRID,105494,5083,Azul
2010,BALEARES,896230,22171,Azul
2010,BALEARES,536071,21852,Azul
2010,BALEARES,1680000,31314,Azul
2010,BALEARES,90520,5541,Azul
2010,BALEARES,843820,9552,Azul
2010,EXTREMADURA,58010,2766,Azul
2010,EXTREMADURA,164761,7836,Azul
2010,CANARIAS,8560,1854,Azul
2010,EXTREMADURA,160420,8193,Azul
2010,EXTREMADURA,247900,9822,Azul
2010,MADRID,3991846,167164,Azul
2010,COMUNIDAD VALENCIANA,60179,3968,Azul
2010,COMUNIDAD VALENCIANA,54475,5902,Azul
2010,COMUNIDAD VALENCIANA,316246,18098,Azul
2010,COMUNIDAD VALENCIANA,123810,9103,Azul
2010,COMUNIDAD VALENCIANA,43440,3148,Azul
2010,EXTREMADURA,582337,30728,Azul
2010,COMUNIDAD VALENCIANA,5980,1275,Azul
2010,COMUNIDAD VALENCIANA,2422368,180005,Azul
2010,COMUNIDAD VALENCIANA,48090,3288,Azul
2010,MADRID,241911,18256,Azul
2010,COMUNIDAD VALENCIANA,24708,1876,Azul
